url,title,published_date,full_text,source,company_name,company_name_short,company_id,industry_general,industry
https://www.marketscreener.com/quote/stock/VIRBAC-5234/news/Virbac-one-of-the-SBF120-s-top-performers-in-2023-45650041/,Virbac: one of the SBF120's top performers in 2023,"December 29, 2023 at 08:28 am EST","With an increase of over 57% since the start of 2023, Virbac is currently the best performer in the SBF120 index (excluding CAC40 stocks), boosted at the end of the year by a cumulative jump of 16.4% on December 19 and 20.For the record, the stock was boosted by an increase in its targets for 2023, with organic sales growth expected to be around 4% and an adjusted EBIT margin of around 15% at constant exchange rates.With regard to 2024, the veterinary drugs manufacturer said it was currently forecasting organic sales growth of between 4% and 6%, and an adjusted EBIT margin of around 15% at constant exchange rates.The 2024 guidance leaves room for improvement, during 2024, including with the non-recurrence of the impact of the 2023 cyber-attack"", estimated Oddo BHF, maintaining its ""outperform"" opinion with a price target raised from 290 to 385 euros.Copyright (c) 2023 CercleFinance.com. All rights reserved.",© Cercle Finance - 2023,Virbac,VIRP,FR0000031577,Equities,Pharmaceuticals
https://www.marketscreener.com/quote/stock/ANHEUSER-BUSCH-INBEV-SA-N-31571356/news/AB-INBEV-Jefferies-remains-Neutral-45649175/,AB INBEV  :  Jefferies remains Neutral,"December 29, 2023 at 06:03 am EST","In a research note, Jefferies analyst Edward Mundy has maintained his recommendation on the stock with a Neutral rating. The target price remains set at EUR 56.",© MarketScreener with dpa-AFX Analyser - 2023,Anheuser-Busch InBev SA/NV,ABI,BE0974293251,Equities,Brewers
https://www.marketscreener.com/quote/stock/LINDE-PLC-46923083/news/LINDE-PLC-Berenberg-reiterates-its-Buy-rating-45648502/,LINDE PLC  :  Berenberg reiterates its Buy rating,"December 29, 2023 at 02:31 am EST","Sebastian Bray from Berenberg retains his positive opinion on the stock with a Buy rating. The target price has been revised upwards and is now set at USD 440, compared with USD 415 previously.",© MarketScreener with dpa-AFX Analyser - 2023,Linde plc,LIN,IE000S9YS762,Equities,Commodity Chemicals
https://www.marketscreener.com/quote/stock/MICROSOFT-CORPORATION-4835/news/Microsoft-in-the-green-with-brokerage-comments-45645175/,Microsoft: in the green with brokerage comments,"December 28, 2023 at 09:52 am EST","Microsoft gained nearly 1% in early trading on Wall Street, on the back of favorable comments from Wedbush, which reaffirmed its 'outperform' opinion on the stock on its list of best ideas for 2024, with a price target raised from $425 to $450.The stock still needs to price in what we see as the next wave of cloud and AI growth for Microsoft, with a strong competitive advantage in the cloud over Amazon and Google"", the broker believes.Copyright (c) 2023 CercleFinance.com. All rights reserved.",© Cercle Finance - 2023,Microsoft Corporation,MSFT,US5949181045,Equities,Software
https://www.marketscreener.com/quote/stock/MICROSOFT-CORPORATION-4835/news/Microsoft-Wedbush-raises-its-price-target-45644377/,MICROSOFT :  Wedbush raises its price target,"December 28, 2023 at 07:28 am EST","Wedbush reaffirms its 'outperform' rating on Microsoft, a stock on its 2024 Best Ideas list, with a price target raised from $425 to $450, highlighting the AI-related prospects for the IT giant.According to the broker, the very near prospect of a 'game-changing' monetization of Co-Pilot is Microsoft's 'iPhone moment', and AI may thus change its growth trajectory in the cloud in the very next few years.'The stock still needs to price in what we see as the next wave of cloud and AI growth for the Microsoft case, with a strong competitive advantage in the cloud over Amazon and Google', believes Wedbush.Copyright (c) 2023 CercleFinance.com. All rights reserved.The information and analyses published by Cercle Finance are intended solely as a decision-making aid for investors. Cercle Finance cannot be held responsible, directly or indirectly, for the use of information and analyses by readers. Uninformed investors are advised to consult a professional advisor before investing. This information does not constitute an invitation to sell or a solicitation to buy.",© Cercle Finance - 2023,Microsoft Corporation,MSFT,US5949181045,Equities,Software
https://www.marketscreener.com/quote/stock/RECKITT-BENCKISER-GROUP-P-9590106/news/RECKITT-Receives-a-Buy-rating-from-Bernstein-45643314/,RECKITT  :  Receives a Buy rating from Bernstein,"December 28, 2023 at 03:27 am EST",Bernstein analyst Bruno Monteyne maintains his Buy rating on the stock. The target price is unchanged at GBX 6200.,© MarketScreener with dpa-AFX Analyser - 2023,Reckitt Benckiser Group plc,RB.,GB00B24CGK77,Equities,Household Products
https://www.marketscreener.com/quote/stock/UNILEVER-PLC-9590186/news/UNILEVER-PLC-Bernstein-sticks-Neutral-45643309/,UNILEVER PLC  :  Bernstein sticks Neutral,"December 28, 2023 at 03:27 am EST","In his latest research note, analyst Bruno Monteyne confirms his recommendation. The broker Bernstein is keeping its Neutral rating. The target price remains unchanged at GBX 3600.",© MarketScreener with dpa-AFX Analyser - 2023,Unilever PLC,ULVR,GB00B10RZP78,Equities,Personal Products
https://www.marketscreener.com/quote/stock/NESTLE-S-A-9365334/news/NESTLE-Bernstein-reaffirms-its-Neutral-rating-45643299/,NESTLE  :  Bernstein reaffirms its Neutral rating,"December 28, 2023 at 03:26 am EST","In a research note published by Bruno Monteyne, Bernstein gives a Neutral rating to the stock. The target price remains unchanged at CHF 105.",© MarketScreener with dpa-AFX Analyser - 2023,Nestlé S.A.,NESN,CH0038863350,Equities,Food Processing
https://www.marketscreener.com/quote/stock/L-OREAL-4666/news/LOREAL-Bernstein-keeps-its-Buy-rating-45643220/,LOREAL  :  Bernstein keeps its Buy rating,"December 28, 2023 at 03:05 am EST","In a research note published by Bruno Monteyne, Bernstein advises its customers to buy the stock. The target price remains set at EUR 480.",© MarketScreener with dpa-AFX Analyser - 2023,L'Oréal,OR,FR0000120321,Equities,Personal Products
https://www.marketscreener.com/quote/stock/HENKEL-AG-CO-KGAA-436185/news/HENKEL-VORZUEGE-Gets-a-Sell-rating-from-Bernstein-45643195/,HENKEL VORZUEGE  :  Gets a Sell rating from Bernstein,"December 28, 2023 at 02:58 am EST",Bernstein analyst Bruno Monteyne reiterate his Sell rating on the stock. The target price remains unchanged at EUR 61.,© MarketScreener with dpa-AFX Analyser - 2023,Henkel AG & Co. KGaA,HEN3,DE0006048432,Equities,Specialty Chemicals
