,ID,Argument,Sentiment
0,1,Solid 1QF20,positive
1,1,Long-term Growth,positive
2,1,Channel Development,positive
3,1,Positive Traffic,positive
4,1,Buying Opportunity,positive
5,1,Growth at Scale,positive
6,1,Material Disruption,negative
7,1,Traffic Pressure,negative
8,1,Business Disruption,negative
9,1,Financial Impact,negative
10,1,Uncertainty,neutral
11,1,Caution,neutral
12,1,EPS Guidance,neutral
13,1,1QF20 Strength,positive
14,1,Virus Impact,negative
15,1,Conflict of Interest,negative
16,1,Objectivity Warning,neutral
17,1,Global Fundamentals,positive
18,1,Comp Unit Growth,positive
19,1,Cost Management,positive
20,1,Return of Excess Cash,positive
21,1,Transition to Maturity,positive
22,1,Fundamental Reacceleration,positive
23,1,Margin Expansion,positive
24,1,Comp Acceleration,positive
25,1,ROI Growth,positive
26,1,Margin Contraction,negative
27,1,Cash Flow,positive
28,1,Debt Increase,negative
29,1,Asset Growth,positive
30,1,Working Capital,negative
31,1,Capital Expenditure,neutral
32,1,Financial Metrics,neutral
33,1,Guidance,positive
34,1,Virus Impact,negative
35,1,Quarterly Strength,positive
36,1,Revenue Growth,positive
37,1,Unit Growth,positive
38,1,Global Presence,positive
39,1,Operating Margin,positive
40,1,Growth Guidance,positive
41,1,GA Leverage,positive
42,1,Earnings Beat,positive
43,1,Same Store Sales,neutral
44,1,Operating Margin,positive
45,1,Market Position,positive
46,1,Revenue Growth,positive
47,1,Global Comp Growth,positive
48,1,Global Unit Growth,positive
49,1,Coronavirus Impact,negative
50,1,Underlying Growth,positive
51,1,Global Fundamentals,positive
52,1,Lack of Visibility,negative
53,1,Growth Prospects,positive
54,1,Guidance Temperance,neutral
55,1,Market Perception,negative
56,1,Lack of Comparables,neutral
57,1,Growth Profile,positive
58,1,Management Belief,positive
59,1,Sustainable Initiatives,positive
60,1,Valuation Concerns,negative
61,1,Fundamental Momentum,positive
62,1,Visibility,positive
63,1,Profit Growth,positive
64,1,Global Exposure,negative
65,1,Store Closures,negative
66,1,Guidance Update,neutral
